Context,Question,Answer,Category
"Crane holds 504,200 Milton Roy shares, including 254,200 bought from Sept. 14 to Thursday for $15.50 to $16.75 each. In New York Stock Exchange composite trading Friday, Milton Roy shares leaped $2, to $18.375 each, while Crane sank $1.125, to $21.125 a share.",What happened after Milton Roy shares leaped to $2?,holds,0
"Also in the capital, Juan Cotzajay, 17, was shot to death by four men in an armed robbery on a bus. The Volunteer Fire Service also found five male corpses in different areas of Guatemala City.",What happened after Juan Cotzajay was shot to death?,found,0
"Most areas of the United States shift Sunday to daylight savings time, with clocks moving one hour ahead. The change was to take place in the eastern zone at 2:00 a.m. (0700 GMT).",What will happen after Sunday's daylight saving time?,"shift, moving",0
Mr. Bush and his aides were leaning toward a military conclusion of the crisis even before the latest reports of Iraqi atrocities in Kuwait came to light. The president and his top aides tentatively decided on Feb. 11 that a ground war would be necessary.,What began occuring before Mr. Bush was leaning toward a military conclusion?,crisis,0
"Demonstrations against US President George W. Bush turned violent in the southern Argentine city of Mar Del Plata on Friday when protesters threw rocks at the police and smashed windows of buildings. The demonstrators, chanting slogans such as ""Bush, gets out of Argentina,"" ""Bush is a fascist,"" set fire on a shop and burned a US flag.",What began before protesters smashed windows?,Demonstrations,0
"The divested Courtaulds textile operations had operating profit of #50 million on #980 million in revenue in the year ended March 31. Some analysts have said Courtaulds' moves could boost the company's value by 5% to 10%, because the two entities separately will carry a higher price earnings multiple than they did combined.",What may happen after Courtaulds textile operations were divested?,"boost, carry",0
"The Israeli media have said a working document proposed by the United States talks of five, five-bus convoys making the trip each day, transporting 1,800 Palestinians. In contrast, Israel wants only one such convoy, limiting the number to 250.",What happened after Israeli media spoke about the working document?,,0
"As many as 300,000 people have died and more than two million fled their homes in what UN aid agencies have dubbed the world's worst humanitarian crisis with reports of rapes, extrajudicial killings and other atrocities rampant. Much of the abuse is blamed on Khartoum's proxy militias -- the so-called ""Janjaweed"" -- but in its report, HRW placed responsibility higher, citing witness accounts from refugees and interviews with Sudanese soldiers and officials.",What likely happened before the time that people fled their homes?,,0
"""We must reach a decision in the debate that has been going on for 38 years since the Six-Day War."" ""The parties must present the voters with clear, responsible positions on all the issues that are on the balance, including the state's permanent borders,"" Katsav added.",What happened before Katsav added?,"debate, going, War, are",0
"The jobless situation improved because employment growth continued to outstrip labor-force growth, the department added. In the first 10 months, the Labor Department received 356,878 private-sector vacancies, up 20 percent over the full-year figure of 297,186 in 2004.",What happened after the department added something?,,0
"""Your election is indeed a victory not only for Liberian women in particular, but also represents a beacon of hope for women in Africa and the world in general. It most eloquently makes the unequivocal statement that, indeed, a new dawn has arrived for African women,"" he said.",What event has begun but has not finished?,"victory, represents, makes",0
"England were given a flying start by Willstrop who overcame the first game loss to defeat Shabana 4-9, 9-6, 9-3, 9-1 in 57 minutes. Nicol, a former world and British open champion brushed aside Mohammad Abbas 9-0, 9-2, 9-1 in under half-an-hour to give England an unassailable 2-0 lead.",What happened after the before first game?,,0
"The meeting, co-hosted by the United Nations Educational, Scientific and Cultural Organization (UNESCO) and the Egyptian education ministry, opened Tuesday night, ""takes place towards the end of another significant year for development and for education, "" said a final communique. ""Education is higher on the political agenda, and many countries have made efforts to raise educational budgets,"" it said.",What event has begun but has not finished?,"end, year, development, education, Education, agenda, budgets, co-hosted",0
"Other than usage in business, Internet technology is also beginning to infiltrate the lifestyle domain. ``Smart homes'' have emerged bringing a wealth of information and entertainment to families over telecommunications lines.",What event might happen in the future?,"infiltrate, bringing",0
"Tennis fans that purchased tickets for this week's Tennis Masters Cup will be given the option to buy tickets for the 2006 event at a discounted rate, said Wednesday the organizers. It's announced in a statement released by the organizing committee that the price will be 40% off on tickets for next year's championship at the Qi Zhong Stadium, which was carried out as a compensation for fans after big names withdrew from the ATP year-ending tournament.",What event has already finished?,"purchased, said, announced, released, carried, withdrew",0
"The two-day celebrations, which are to start Saturday with the official ordination, are set in Port Vila's largest open ground, the Independence Park. Vanuatu's linguistic and religious legacy is strongly related to the presence of missionaries who early last century were among the first permanent white settlers in these islands.",What should happen before the two-day celebrations start? ,ordination,0
FBI officials said they were not certain whether Stauber or Gingrich had been involved in antiabortion activities. The two men are believed to live in the Cleveland area.,What will happen in the future?,,0
"In the year-earlier quarter, the automobile and trucking insurer had earnings of $1.4 million, or 48 cents a share on a restated basis, on revenue of $16.5 million. In an interview, W. Brent LeGere, chairman and chief executive officer, said he expects revenue in the latest quarter to total about $28 million.",What will happen in the future?,,0
France coach Bernard Laporte revealed Thursday that he would be looking to emulate Ireland's strategy as the hosts prepare for next year's rugby World Cup. Laporte blamed the heavy club schedule of many of France's internationals for their dismal autumn series which included two limp and uninspiring losses to World Cup favourites the All Blacks.,What happened after Laporte blamed the heavy club schedule for France's performance?,,0
"A summit between U.S. President George W. Bush and Iraqi Prime Minister Nuri al-Maliki was put off until Thursday, local media reported on Wednesday. The postponement was announced shortly after Bush arrived in Jordan Wednesday evening for talks with Jordan's King Abdullah II and al-Maliki.",What happened before talks?,"was, reported, was, announced, arrived, Wednesday, evening, put, postponement",0
"The long-term goal in energy conservation is to halt the growth of total primary energy consumption and to bring about a falling trend. In the strategy, the government promises to invest in renewable energy sources, save energy and reduce greenhouse gas emissions.",What will happen in the future?,"halt, falling, invest, save, reduce",0
"The statement said the sale would be carried out through ""a competitive procedure and direct negotiations"". A senior aide to Prime Minister Romano Prodi quoted Environment Minister Alfonso Scanio as saying that around 25 percent of Alitalia would be put up for sale, bringing the state's stake below 30 percent.",What event has begun but has not finished?,,0
The China Audio and Video Association has been designated as the temporary agent to collect the royalties for music being played in karaoke bars. This function will be taken over by an association for the collective management of audio and video copyrights after it is granted official approval by the government.,What event has begun but has not finished?,played,0
"On Oct. 29, a senior Egyptian official told Xinhua that Meshaal would visit Egypt soon, but failed to give an exact date. The official, speaking on condition of anonymity, said at that time that Meshaal, now in exile in Syria, would visit Cairo in four or five days.",What might happen after the official said that Meshaal would visit Cairo in four or five days?,"visit, visit",0
"Newsstands were empty for five days when the written press went on strike on Thursday, Friday and Saturday before their two-day Christmas holiday. Television and newspaper journalists have resorted to industrial action several times to demand the renewal of a collective bargaining charter nearly two years after it expired in 2005.",What happened after the charter expired?,"were, went, strike, holiday, resorted, demand",0
Liberia and Sierra Leone are in their post-conflict period following more than ten years of war while Cote d'Ivoire is yet to restore peace. The coordination of military exercises involving various UN missions and their local counterparts is seen as a confidence- building measure.,What happened during the UN missions but has not finished?,post-conflict,0
"``Once again, I never asked anybody to do anything but tell the truth. I know about the stories today.",What happened before someone knew something?,asked,0
"Fei Junlong, 40, and Nie Haisheng, 41, went into space on Oct. 12 from the Jiuquan Satellite Launch Center and returned to Earth on Oct. 17. They conducted a series of unprecedented experiments on the spacecraft.",What was happening during the experiments?,conducted,0
"Qassem Rashad Kamel Arafa, 24, was pronounced dead at a Hebron hospital with several of the settlers' bullets in his chest. A second man was killed by a rubber bullet which entered his brain while a third man was in critical condition on a life support system in a Jerusalem hospital, officials said.",What might have happened after a second man was killed?,support,0
Each of the Class C warrants will enable the holders to purchase one share of common stock at $5.50. The warrants may be exercised until 90 days after their issue date.,What happens after the warrants are enabled?,"purchase, exercised",0
"At least 50,000 U.S. troops are expected to be committed to Desert Shield within weeks, including Marines, Army air assault forces, paratroopers and infantry. Iraq said it invaded Kuwait because of disputes over oil and money.",What event has already happened?,"disputes, said",0
A senior Palestinian official said on Saturday that the Palestinian National Authority (PNA) will not reach any agreement with Israel before release of all Palestinian prisoners. Minister of Prisoners' Affairs Sufian Abu Zayda told the Voice of Palestine that the PNA insists on releasing all the Palestinian prisoners from Israeli jails without any discrimination.,"What needs to happen before an agreement can be reached, as per Sufian Abu Zayda?","release, releasing",0
"But the administration isn't putting any upper limit on how high the force could go after that, calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing. U.S. commanders in charge of planning for Middle East crises have indicated in the past that they were capable of deploying as many as 300,000 troops.",What event has already finished?,indicated,0
"Colonel Collins has been the co-pilot before, but this time she's the boss. Here's ABC's Ned Potter.",What event has already happened?,been,0
"The quake, which struck about 390 km east of the Etorofu islands, north of Japan, at 1115 GMT, could generate a tsunami of about 2 meters or more, Japan's Meteorological Agency said earlier. No injuries or damage have been reported so far.",What happened after the Agency said something?,,0
"""Mexico are a good side, I was very impressed by them at the Confederations Cup. Angola are a new team to me.",What event has begun but has not finished?,"are, are",0
"US Defense Secretary William Cohen flies into Tokyo on Monday straight into a political storm over a government move to force landowners in Okinawa to continue leasing land to US forces. Protests over the government bill, introduced Friday after the government won the support of the main opposition party, continued Sunday with some 2,500 people braving heavy rain to march in the capital.",What will happen in the future?,force,0
"They arrested two men in connection with the bomb factory, which also contained circuitry, detonating cord and the Mitsubishi truck that would have carried the bomb. The British and Irish governments, which cosponsor the multi-party talks that are supposed to conclude by May, invited Sinn Fein to rejoin two weeks ago.",What happened before something might rejoin?,invited,0
"Bembe said that at the moment his board is working for the closing of the first phase, which will end with the integration of FLEC soldiers in the Angolan Armed Forces and in the National Police. ",What was happening before the integration of soldiers?,"working, closing",0
"""The Japanese hoped to give an interim progress report sometime in May on where we stand,"" Bacon said. Cohen also raised US interest in involving Japan in developing theater missile defenses, but Bacon said the issue was not a focus of Monday's talks.",What happened after someone hoped?,said,0
"He also is charged in three Atlanta attacks, including the 1996 Olympic bombing that killed one person. ",What event happened before the person was killed?,,0
The Stock Exchange of Thailand ( SET)index on Friday moved down 3.99 points to close at 690.45 points. Some 2.29 billion shares worth 11.21 billion Thai baht (about 280.250 million US dollars) changed hands.,What started while the stock exchange moved down?,changed,0
"The statement said the IMF's Executive Board ""will undertake a broad programme to assess the implications of EMU for the international monetary system and for the Fund."" IMF Managing Director Michel Camdessus earlier told the committee that IMF surveillance of the new euro area, due to come into being in 1999, would be ""a challenge for the Fund"" because of the weight in the monetary system of the countries likely to take part.",What will begin before implications are assessed?,programme,0
France coach Bernard Laporte revealed Thursday that he would be looking to emulate Ireland's strategy as the hosts prepare for next year's rugby World Cup. Laporte blamed the heavy club schedule of many of France's internationals for their dismal autumn series which included two limp and uninspiring losses to World Cup favourites the All Blacks.,What happened before Bernard Laporte's revelation?,"series, losses",0
"With the Chepauk outfield waterlogged and little chance of the sun breaking through to dry the ground, there was unlikely to be any play on the second day after the first day was washed out. Umpires Daryl Harper and Mark Benson may call off play during the scheduled lunch break at 11:30 am (0600 GMT) if the weather does not improve.",What usually happens after the waterlogged ground becomes dry?,play,0
"Prosecutors had accused the defendant of agreeing to store a cardboard box for a friend, who was tried separately, but failing to ask what it contained. Prosecutors said it contained explosives later used in the embassy attack.",What event has already finished?,"accused, agreeing, store, tried, failing, ask, used, attack, said",0
"Officials at the rink in California approached the Rubidoux High School Madrigals just as they launched into ""God Rest Ye Merry Gentleman"" and requested the troupe immediately stop singing. Cohen later said she was stunned by the flap and never made a request to silence the singers.",What happened before the Madrigals launched into the song?,,0
"In New York, a North Korean official said Wednesday that China should join the talks only after Washington recognizes the North. South Korea's Yonhap News Agency quoted Han Sung-Ryol, head of the North Korean UN mission, as repeating Kim's insistence that such steps were needed to put the North on an ""equal footing"" before the four- party talks take place.",What should happen after the North is recognized?,"join, take",0
"Gonzalez's lawyer, Greg Craig, asked for a visa Thursday for his client for the expected visit, but was told by U.S. State Department officials that Gonzalez himself had to apply for the visa at the U.S. diplomatic mission in Havana. ``Juan Miguel Gonzalez is ready at a moment's notice to come to the United States,'' said Craig.",What will happen in the future?,"come, apply, visit",0
"""At times (Russia's) progress has been so slow that the support of the IMF has been interpreted by some as reflecting a kind of political complacency, or sheer misjudgement from the IMF. It is time to show that this pessimism is misplaced,"" he said.",What event has begun but has not finished?,progress,0
"""I still have hope, and continue to seek that there will be no street protests,"" he said. ""We are constantly working to prevent the outbreak of any clashes.""",What event might happen in the future?,"have, continue, be, protests, working, prevent, outbreak",0
"``We extend our heartfelt sympathies to the victims of these outrages and to their families in Kenya, Tanzania and the United States,'' Estrada said in a statement. ``No cause is so great that it can justify wanton murder and maiming of the innocent.''",What happened after outrages?,"extend, sympathies, said, statement",0
McKinnon's spokeswoman said the United States had ``very good intelligence'' linking the sites struck overnight with the embassy attacks. ,"What happened while the spokeswoman said the United States had ""very good intelligence""?",linking,0
"Furthermore, the impetus for higher oil prices in recent times has come from low spare capacity -- the safety cushion in the world oil system -- and geopolitical tensions. The impact of both has lessened in recent times and inventories have built up.",What will happen in the future?,,0
"The euro was quoted at 1.1700-1702 dollar and 137.84-88 yen, against Thursday's 5 p.m. quotes of 1.1682-1692 dollar and 138.08- 18 yen in New York and 1.1767-1769 dollar and 138.43-47 yen in Tokyo. The dollar weakened slightly against the yen after the report showed early in the morning that Japan's economy grew at an annualized rate of 1.7 percent in the third quarter, beating a consensus market forecast of 1.1 percent.",What occurred before the currencies were quoted?,"weakened, showed, grew, beating, forecast",0
"A respected figure and twice a member of the Chinese People's Political Consultative Congress, Cai has used his scientific achievements to reach practical results for wetland conservation, defending the idea that ""wetlands are closely linked to human survival and development."" Cai also stressed the importance of wetlands for sustainable economic development and human well-being, especially in their function as the ""kidneys of nature.""",What happened after achievements?,"reach, conservation, defending, survival, development, stressed, development",0
"The flu season is winding down, and it has killed 105 children so far - about the average toll. The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade.",What happened after decade?,,0
"The two ministers will make preparations for the 13th APEC Economic Leaders' Meeting which will be attended by Chinese President Hu Jintao after he concludes his state visit to Britain, Germany, Spain and the ROK. APEC, which has 21 members, is the most important forum of economic cooperation in the Asian-Pacific region.",What will happen in the future?,"make, Meeting, attended, concludes",0
